index,source,text,token,pos,pymorphy,natasha,mystem
15,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,то,CONJ,CONJ,PRON,SPRO
16,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,ведь,PART,PRCL,PART,PART
17,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,ей,SPRO,NPRO,PRON,SPRO
18,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,голодновато,ADV,ADJS,VERB,A
19,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,на,PR,PREP,ADP,PR
20,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,улице,S,NOUN,NOUN,S
21,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,у,PR,PREP,ADP,PR
22,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,них,SPRO,NPRO,PRON,SPRO
23,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,на,PR,PREP,ADP,PR
24,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,даче,S,NOUN,NOUN,S
25,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,много,ADV,ADVB,ADV,ADV
26,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,порхунов,S,ADJS,ADJ,S
27,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,и,CONJ,CONJ,CCONJ,CONJ
28,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,порхахалей,S,NOUN,ADJ,S
29,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,мама,S,NOUN,NOUN,S
30,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,вчера,ADV,ADVB,ADV,ADV
31,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,весь,APRO,ADJF,DET,APRO
32,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,дом,S,NOUN,NOUN,S
33,https://www.maam.ru/detskijsad/slovotvorchestvo-v-detskoi-rechi-na-materiale-rechi-detei-ot-3-h-do-7-mi-let.html,ну она и воручелла у нас всегда на нас ворчит мама давай кошечку пригрудим а то ведь ей голодновато на улице у них на даче много порхунов и порхахалей мама вчера весь дом передрыкала,передрыкала,V,VERB,ADJ,V
34,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,чайнело,V,VERB,ADJ,A
35,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,мильные,A,ADJF,ADJ,A
36,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,бокры,S,NOUN,ADJ,S
37,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,юлись,V,VERB,NOUN,S
38,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,и,CONJ,CONJ,CCONJ,CONJ
39,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,дрырлись,V,VERB,NOUN,V
40,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,к,PR,PREP,ADP,PR
41,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,поросе,S,NOUN,NOUN,S
42,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,и,CONJ,CONJ,CCONJ,CONJ
43,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,глокой,A,NOUN,ADJ,S
44,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,куздры,S,NOUN,ADJ,S
45,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,развихры,S,NOUN,ADJ,S
46,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,курдячились,V,VERB,NOUN,V
47,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,по,PR,PREP,ADP,PR
48,Л.Кэрролл. Алиса за зеркалом. Пер. Е. Клюева,чайнело мильные бокры юлись и дрырлись к поросе и глокой куздры развихры курдячились по белесе,белесе,S,NOUN,NOUN,S
49,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,ты,SPRO,NPRO,PRON,SPRO
50,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,белых,A,ADJF,ADJ,A
51,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,лебедей,S,NOUN,NOUN,S
52,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,кормила,V,VERB,VERB,V
53,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,откинув,V,GRND,ADJ,V
54,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,тяжесть,S,NOUN,NOUN,S
55,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,черных,A,ADJF,ADJ,A
56,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,кос,S,NOUN,NOUN,S
57,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,я,SPRO,NPRO,PRON,SPRO
58,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,рядом,ADV,ADVB,ADV,ADV
59,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,плыл,V,VERB,VERB,V
60,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,сошлись,V,VERB,ADV,V
61,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,кормила,S,VERB,VERB,V
62,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,закатный,A,ADJF,ADJ,A
63,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,луч,S,NOUN,NOUN,S
64,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,был,V,VERB,AUX,V
65,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,странно,A,ADVB,ADV,ADV
66,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,по,PR,PREP,ADP,PR
67,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,небу,S,NOUN,NOUN,S
68,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,полосы,S,NOUN,NOUN,S
69,В. Брюсов. На пруду,ты белых лебедей кормила откинув тяжесть черных кос я рядом плыл сошлись кормила закатный луч был странно по небу полосы синели вечеровой багрец кроя в цветах черемух и синели скрывались водные края все формы были строго миг ранил сердце сотней жал я как аскет сжимает четки в руке весло невольно жал вдруг лебедей метнулась пара не знаю чья была вина закат замлел за дымкой пара алея как поток вина была то правда ли мечта ли  уста двоих слились в одно две лодки как и мы мечтали как будто вонзены во дно я свято помню эту встречу пруд берег неба яркий плат миг тот же если вновь я встречу  и жизнь ничтожная из плат,синели,V,NOUN,ADJ,V
